d3d_va,glide_va,size,class,matched_by
0x1000C4D0,0x10009A00,64,shared,body
0x1000C510,0x10009A40,178,shared,body
0x1000C5D0,0x10009B00,146,shared,body
0x1000C670,0x10009BA0,85,shared,body
0x1000C6D0,0x10009C00,11,shared,body
0x1000C6E0,0x10009C10,932,shared,body
0x1000CA90,0x10009FC0,322,shared,body
0x1000CBE0,,7524,d3d_only,
0x1000E950,0x1000BEB0,1576,shared,body
0x1000EF80,0x1000C4E0,1246,shared,body
0x1000F460,0x1000C9C0,28,shared,body
0x1000F480,0x1000C9E0,308,shared,body
0x1000F5C0,0x1000CB20,96,shared,body
0x1000F620,0x1000CB80,29,shared,body
0x1000F640,0x1000CBA0,3971,shared,body
0x100106A0,0x1000DC00,702,shared,body
0x10010960,0x1000DEC0,8,shared,body
0x10010970,0x1000DED0,14,shared,body
0x10010980,0x1000DEE0,8,shared,body
0x10010990,0x1000DEF0,14,shared,body
0x100109A0,0x1000DF00,347,shared,body
0x10010B00,0x1000E060,231,shared,body
0x10010BF0,0x1000E150,287,shared,prefix
0x10010D10,,121,d3d_only,
0x10010D90,0x1000E2F0,39,shared,body
0x10010DC0,0x1000E320,1991,shared,prefix
0x10011590,0x1000EAF0,9329,shared,prefix
0x10013A10,0x10010F80,47,shared,body
0x10013A40,0x10010FB0,843,shared,body
0x10013D90,0x10011300,846,shared,body
0x100140E0,0x10011650,847,shared,body
0x10014450,0x100119C0,837,shared,body
0x100147B0,0x10011D20,383,shared,body
0x10014930,,252,d3d_only,
0x10014A30,0x10011FA0,4500,shared,prefix
0x10015BD0,0x10013140,160,shared,body
0x10015C70,0x100131E0,3217,shared,body
0x10016910,0x10013E80,128,shared,body
0x10016990,0x10013F00,20,shared,body
0x100169B0,0x10013F20,157,shared,body
0x10016A60,0x10013FD0,217,shared,body
0x10016B40,0x100140B0,1703,shared,body
0x100171F0,0x10014760,159,shared,prefix
0x10017290,0x10014800,310,shared,prefix
0x100173F0,,665,d3d_only,
0x10017690,0x10014C00,164,shared,body
0x10017740,0x10014CB0,71,shared,body
0x10017790,0x10014D00,246,shared,body
0x10017890,,1000,d3d_only,
0x10017C80,0x100151F0,79,shared,body
0x10017CD0,0x10015240,190,shared,body
0x10017D90,0x10015300,401,shared,prefix
0x10017F30,0x100154A0,163,shared,body
0x10017FE0,0x10015550,144,shared,prefix
0x10018070,0x100155F0,54,shared,body
0x100180B0,0x10015630,1239,shared,body
0x10018590,,2992,d3d_only,
0x10019240,0x10016800,8,shared,body
0x10019250,0x10016810,8,shared,body
0x10019260,0x10016810,8,shared,body
0x10019270,0x10016830,8,shared,body
0x10019280,0x10016810,8,shared,body
0x10019290,0x10016800,8,shared,body
0x100192A0,0x10016860,69,shared,body
0x100192F0,0x100168B0,10,shared,body
0x10019300,0x100168C0,180,shared,body
0x100193C0,,207,d3d_only,
0x10019490,0x10016A50,75,shared,body
0x100194E0,0x10016AA0,306,shared,body
0x10019620,0x10016BE0,174,shared,body
0x100196D0,0x10016C90,1142,shared,body
0x10019B50,,2389,d3d_only,
0x1001A4B0,,31,d3d_only,
0x1001A4D0,,121,d3d_only,
0x1001A550,,29,d3d_only,
0x1001A570,,93,d3d_only,
0x1001A5D0,,63,d3d_only,
0x1001A610,,208,d3d_only,
0x1001A6E0,,168,d3d_only,
0x1001A790,,217,d3d_only,
0x1001A870,,77,d3d_only,
0x1001A8C0,,70,d3d_only,
0x1001A950,,56,d3d_only,
0x1001A990,,224,d3d_only,
0x1001AA70,,133,d3d_only,
0x1001AB00,,133,d3d_only,
0x1001AB90,,208,d3d_only,
0x1001AC60,,32,d3d_only,
0x1001AC80,,109,d3d_only,
0x1001ACF0,,81,d3d_only,
0x1001AD50,,51,d3d_only,
0x1001AD90,,11,d3d_only,
0x1001ADA0,,51,d3d_only,
0x1001ADE0,,244,d3d_only,
